id;uuid;ss_create_by;ss_filename;ss_b_code;ss_sub_b_code;create_by;create_time;update_by;update_time;del_flag;remark
1;64e92fff-60b6-40f9-b9c7-7c21d972f631;peony;why swing attribute;beep;since colligate likewise;unaware down spirit;2025-04-15T10:26:44;well-documented adult yet;2025-04-15T20:21:48;false;incinerate innocently impressive
2;eff52c97-d080-4e67-a300-9ca6653642d3;eek story;ragged;institutionalize culminate psst;insidious at;sternly;2025-04-15T06:53:37;upliftingly since adumbrate;2025-04-15T09:35:11;true;sandbar whereas
3;8ecd1d28-97b1-47ba-80e3-c617f6e6f58a;awesome;optimal hollow;unexpectedly;hmph;warm consequently;2025-04-15T19:36:22;whoever holster;2025-04-15T07:36:54;true;triumphantly noon
4;289ec656-d6d2-44bf-8249-f56d92f06e85;now;since jet upon;by;syringe;malfunction cemetery clonk;2025-04-15T23:32:07;pish;2025-04-15T16:56:28;true;jump veto grim
5;79389751-9fa0-48f2-84ab-bc6cbab11319;questionably;reborn adaptation without;along usefully;brr;wrathful near;2025-04-15T08:45:19;or;2025-04-16T03:35:44;true;mundane oof
6;21e966ed-cac7-436f-ad17-cac0c206c76c;briskly healthily;for innovate;laughter without;sonnet;ew fishery;2025-04-15T21:27:36;meaningfully;2025-04-15T05:13:14;true;like curiously off
7;332b6aaf-f826-4787-b3e8-8603c9c5402d;towards;behind;which;as;trust needy;2025-04-15T07:05:03;since;2025-04-16T04:37:43;true;angrily skateboard demob
8;7f625a09-ec29-4de4-becc-60840b45ead1;courageously toward which;contrast whose and;atop like smoggy;microblog;when;2025-04-15T16:13:40;tousle;2025-04-15T16:52:40;false;pish
9;b33c5370-4d5a-4eac-82c9-97b2ae3209b5;knit past furthermore;shrilly upbeat than;bend yippee freely;though from nocturnal;duh after;2025-04-16T01:29:40;despite pish loose;2025-04-15T12:51:00;true;meh curiously accentuate
10;2f7867d7-fb48-4ff7-aec5-de8f1910173e;frantically defenseless;hm curly um;for;or reluctantly celebrate;for who like;2025-04-16T01:25:35;supposing quarrel;2025-04-15T19:08:06;false;including likewise
